lsoa,imd_score
E01000368,30.135
E01000369,9.538
E01000370,10.264
E01000371,8.451
E01000372,28.034
E01000373,26.247
E01000374,34.385
E01000375,15.552
E01000376,13.092
E01000377,11.791
E01000379,18.955
E01000380,22.096
E01000381,24.241
E01000382,4.252
E01000383,15.559
E01000384,13.172
E01000385,27.299
E01000386,41.222
E01000387,8.158
E01000388,5.676
E01000389,9.52
E01000390,7.987
E01000391,11.797
E01000392,23.11
E01000393,8.047
E01000394,7.964
E01000395,3.839
E01000396,4.614
E01000398,18.028
E01000399,8.068
E01000400,12.671
E01000401,25.329
E01000402,23.487
E01000403,35.545
E01000404,34.502
E01000405,26.102
E01000406,19.67
E01000407,11.893
E01000408,29.174
E01000409,4.812
E01000410,6.515
E01000411,8.465
E01000412,9.348
E01000413,11.047
E01000414,16.981
E01000415,3.29
E01000416,23.922
E01000417,19.574
E01000418,16.282
E01000419,6.089
E01000420,10.068
E01000421,4.268
E01000422,29.415
E01000423,2.9
E01000424,7.306
E01000425,2.803
E01000426,9.242
E01000427,12.023
E01000428,23.766
E01000429,41.711
E01000430,18.794
E01000431,40.591
E01000433,42.512
E01000434,36.879
E01000435,28.002
E01000436,3.472
E01000437,10.517
E01000438,16.268
E01000439,27.638
E01000440,4.898
E01000441,34.18
E01000442,9.33
E01000443,15.268
E01000444,3.315
E01000445,4.906
E01000446,4.602
E01000447,11.218
E01000448,2.174
E01000449,3.006
E01000450,16.288
E01000451,6.307
E01000452,4.928
E01000453,6.069
E01000454,17.298
E01000455,5.963
E01000456,4.167
E01000457,13.676
E01000458,4.146
E01000459,14.337
E01000460,2.838
E01000461,3.959
E01000462,11.991
E01000463,4.818
E01000464,27.698
E01000465,31.243
E01000466,27.799
E01000467,24.126
E01000468,21.086
E01000469,21.268
E01000470,39.935
E01000471,22.484
E01000472,25.505
E01000473,32.35
E01000474,26.243
E01000475,27.009
E01000476,24.942
E01000477,39.4
E01000478,28.201
E01000479,17.262
E01000480,15.421
E01000481,31.999
E01000483,44.065
E01000484,31.201
E01000485,25.882
E01000486,17.005
E01000487,25.092
E01000488,22.556
E01000489,20.472
E01000490,25.921
E01000491,19.919
E01000492,16.126
E01000493,14.096
E01000494,22.497
E01000495,30.884
E01000497,33.039
E01000498,52.586
E01000499,47.585
E01000501,38.432
E01000502,37.092
E01000503,36.878
E01000504,24.992
E01000505,22.918
E01000506,44.857
E01000507,25.074
E01000508,46.122
E01000509,50.902
E01000510,55.903
E01000511,40.654
E01000512,25.393
E01000513,22.625
E01000514,20.684
E01000515,32.041
E01000516,21.85
E01000517,16.547
E01000518,22.178
E01000519,28.75
E01000520,27.639
E01000521,63.042
E01000522,38.058
E01000523,46.915
E01000524,62.133
E01000525,44.321
E01000526,52.215
E01000527,53.357
E01000528,45.225
E01000530,15.362
E01000531,33.127
E01000532,24.695
E01000533,54.744
E01000534,18.328
E01000535,33.209
E01000536,12.605
E01000538,8.578
E01000539,12.935
E01000540,8.973
E01000541,21.055
E01000543,20.547
E01000544,29.701
E01000545,35.665
E01000546,32.412
E01000547,21.119
E01000548,35.64
E01000549,16.936
E01000550,34.271
E01000551,31.45
E01000552,27.7
E01000553,36.359
E01000554,27.089
E01000555,21.465
E01000556,42.36
E01000557,31.391
E01000558,29.401
E01000559,24.332
E01000560,23.434
E01000561,25.415
E01000562,11.955
E01000563,8.929
E01000564,26.063
E01000565,26.28
E01000566,16.102
E01000567,22.461
E01000568,12.431
E01000569,10.741
E01000570,28.173
E01000571,22.538
E01000572,16.825
E01000573,18.877
E01000574,18.011
E01000575,21.804
E01000576,21.008
E01000577,34.702
E01000578,31.683
E01000579,23.562
E01000580,17.965
E01000581,20.307
E01000582,15.13
E01000583,21.111
E01000584,16.768
E01000585,18.279
E01000586,27.75
E01000587,17.864
E01000589,20.271
E01000590,16.427
E01000591,24.333
E01000592,21.79
E01000593,23.41
E01000594,22.942
E01000595,51.721
E01000596,51.029
E01000599,44.83
E01000601,71.307
E01000602,41.9
E01000603,54.57
E01000604,47.633
E01000605,49.815
E01000606,27.566
E01000607,23.822
E01000608,29.683
E01000609,24.975
E01000610,29.606
E01000611,19.353
E01000612,29.138
E01000613,27.845
E01000615,16.482
E01000616,28.536
E01000617,23.852
E01000618,27.332
E01000619,26.904
E01000620,23.038
E01000621,30.642
E01000622,36.271
E01000623,18.438
E01000624,20.397
E01000625,29.191
E01000626,45.27
E01000627,46.043
E01000628,49.524
E01000629,21.58
E01000630,33.233
E01000631,20.624
E01000632,27.55
E01000633,32.926
E01000634,32.289
E01000636,26.275
E01000637,32.952
E01000638,43.085
E01000639,25.427
E01000640,46.448
E01000641,44.151
E01000642,35.599
E01000643,52.129
E01000644,31.33
E01000645,2.21
E01000646,6.445
E01000647,7.752
E01000648,5.987
E01000649,5.557
E01000650,6.518
E01000651,8.832
E01000652,2.636
E01000653,5.109
E01000654,10.226
E01000655,10.665
E01000656,6.786
E01000657,15.869
E01000658,7.164
E01000659,8.154
E01000661,31.033
E01000662,13.771
E01000663,14.155
E01000664,13.79
E01000665,10.666
E01000666,5.461
E01000667,3.611
E01000668,11.502
E01000669,10.367
E01000670,4.32
E01000671,11.143
E01000672,7.185
E01000673,8.618
E01000674,14.283
E01000676,24.089
E01000677,12.044
E01000678,7.022
E01000679,9.023
E01000680,7.789
E01000681,1.861
E01000682,2.488
E01000683,9.006
E01000684,1.21
E01000685,9.008
E01000686,7.083
E01000687,5.985
E01000688,2.508
E01000689,18.897
E01000690,4.498
E01000691,12.472
E01000692,9.569
E01000693,7.472
E01000694,3.373
E01000695,4.316
E01000696,4.766
E01000697,5.661
E01000698,3.496
E01000699,20.275
E01000700,13.469
E01000701,10.609
E01000702,10.236
E01000703,8.442
E01000704,9.286
E01000705,19.716
E01000706,13.884
E01000707,2.927
E01000708,8.052
E01000709,11.352
E01000710,6.911
E01000711,11.176
E01000712,5.627
E01000713,5.832
E01000714,13.122
E01000715,5.107
E01000716,4.23
E01000717,8.303
E01000718,19.468
E01000719,26.435
E01000720,37.595
E01000721,36.427
E01000722,21.197
E01000723,6.435
E01000724,37.881
E01000725,26.542
E01000726,12.645
E01000727,14.147
E01000728,21.282
E01000729,36.969
E01000730,36.358
E01000731,23.265
E01000732,9.518
E01000733,18.715
E01000734,8.219
E01000735,26.257
E01000736,22.305
E01000737,29.023
E01000738,14.498
E01000739,39.615
E01000741,21.266
E01000742,20.597
E01000743,39.649
E01000744,43.725
E01000745,18.253
E01000746,14.895
E01000747,20.885
E01000748,9.919
E01000749,8.922
E01000750,30.555
E01000751,3.827
E01000752,7.611
E01000753,2.632
