lsoa21cd,MSOA21CD,MSOA21NM,Lower.layer.Super.Output.Areas,dep_child_category,Dependent.children.in.household.and.their.age..B...6.categories.,Household.type..6.categories..Code,Household.type..6.categories.,Observation,total_number_of_households,eligible,share_of_eligible
E01011633,E02002427,Leeds 098,Leeds 098E,-8,Does not apply,-8,Does not apply,0,637,99,15.54160125588697
E01011639,E02002429,Leeds 100,Leeds 100E,-8,Does not apply,-8,Does not apply,0,636,109,17.138364779874212
E01011638,E02002426,Leeds 097,Leeds 097D,-8,Does not apply,-8,Does not apply,0,620,86,13.870967741935484
E01011627,E02002427,Leeds 098,Leeds 098A,-8,Does not apply,-8,Does not apply,0,587,127,21.63543441226576
E01011630,E02002429,Leeds 100,Leeds 100B,-8,Does not apply,-8,Does not apply,0,892,161,18.04932735426009
E01011629,E02002427,Leeds 098,Leeds 098C,-8,Does not apply,-8,Does not apply,0,622,106,17.041800643086816
E01011636,E02002429,Leeds 100,Leeds 100D,-8,Does not apply,-8,Does not apply,0,840,157,18.69047619047619
E01011634,E02002429,Leeds 100,Leeds 100C,-8,Does not apply,-8,Does not apply,0,679,129,18.998527245949926
E01011613,E02002405,Leeds 076,Leeds 076E,-8,Does not apply,-8,Does not apply,0,692,195,28.179190751445088
E01011608,E02002397,Leeds 068,Leeds 068A,-8,Does not apply,-8,Does not apply,0,595,108,18.15126050420168
E01011581,E02002332,Leeds 003,Leeds 003A,-8,Does not apply,-8,Does not apply,0,731,115,15.73187414500684
E01011578,E02002340,Leeds 011,Leeds 011D,-8,Does not apply,-8,Does not apply,0,621,93,14.97584541062802
E01011598,E02002391,Leeds 062,Leeds 062E,-8,Does not apply,-8,Does not apply,0,756,105,13.88888888888889
E01011564,E02002341,Leeds 012,Leeds 012D,-8,Does not apply,-8,Does not apply,0,606,124,20.462046204620464
E01011566,E02002344,Leeds 015,Leeds 015D,-8,Does not apply,-8,Does not apply,0,559,121,21.645796064400717
E01011561,E02002335,Leeds 006,Leeds 006A,-8,Does not apply,-8,Does not apply,0,525,84,16
E01011562,E02002341,Leeds 012,Leeds 012B,-8,Does not apply,-8,Does not apply,0,626,103,16.45367412140575
E01011579,E02002343,Leeds 014,Leeds 014C,-8,Does not apply,-8,Does not apply,0,518,131,25.28957528957529
E01011580,E02002343,Leeds 014,Leeds 014D,-8,Does not apply,-8,Does not apply,0,620,84,13.548387096774194
E01011602,E02002405,Leeds 076,Leeds 076A,-8,Does not apply,-8,Does not apply,0,907,152,16.758544652701215
E01011614,E02002397,Leeds 068,Leeds 068E,-8,Does not apply,-8,Does not apply,0,853,104,12.192262602579133
E01011612,E02002408,Leeds 079,Leeds 079E,-8,Does not apply,-8,Does not apply,0,743,67,9.01749663526245
E01011600,E02002408,Leeds 079,Leeds 079A,-8,Does not apply,-8,Does not apply,0,690,91,13.18840579710145
E01011605,E02002405,Leeds 076,Leeds 076C,-8,Does not apply,-8,Does not apply,0,718,142,19.77715877437326
E01011623,E02002404,Leeds 075,Leeds 075B,-8,Does not apply,-8,Does not apply,0,702,199,28.34757834757835
E01011620,E02002401,Leeds 072,Leeds 072B,-8,Does not apply,-8,Does not apply,0,499,155,31.062124248496993
E01011621,E02002399,Leeds 070,Leeds 070D,-8,Does not apply,-8,Does not apply,0,596,165,27.684563758389263
E01033021,E02002404,Leeds 075,Leeds 075E,-8,Does not apply,-8,Does not apply,0,1079,125,11.584800741427248
E01011609,E02002397,Leeds 068,Leeds 068B,-8,Does not apply,-8,Does not apply,0,662,121,18.277945619335348
E01011611,E02002397,Leeds 068,Leeds 068D,-8,Does not apply,-8,Does not apply,0,618,153,24.75728155339806
E01011610,E02002397,Leeds 068,Leeds 068C,-8,Does not apply,-8,Does not apply,0,697,104,14.921090387374463
E01011606,E02002405,Leeds 076,Leeds 076D,-8,Does not apply,-8,Does not apply,0,765,186,24.313725490196077
E01011604,E02002408,Leeds 079,Leeds 079C,-8,Does not apply,-8,Does not apply,0,622,106,17.041800643086816
E01011601,E02002408,Leeds 079,Leeds 079B,-8,Does not apply,-8,Does not apply,0,666,144,21.62162162162162
E01011603,E02002405,Leeds 076,Leeds 076B,-8,Does not apply,-8,Does not apply,0,708,113,15.96045197740113
E01011607,E02002408,Leeds 079,Leeds 079D,-8,Does not apply,-8,Does not apply,0,711,158,22.22222222222222
E01011582,E02002332,Leeds 003,Leeds 003B,-8,Does not apply,-8,Does not apply,0,742,125,16.846361185983827
E01011583,E02002332,Leeds 003,Leeds 003C,-8,Does not apply,-8,Does not apply,0,648,123,18.98148148148148
E01011570,E02002336,Leeds 007,Leeds 007A,-8,Does not apply,-8,Does not apply,0,962,170,17.671517671517673
E01011591,E02002381,Leeds 052,Leeds 052D,-8,Does not apply,-8,Does not apply,0,835,118,14.131736526946108
E01011593,E02002368,Leeds 039,Leeds 039E,-8,Does not apply,-8,Does not apply,0,851,158,18.566392479435958
E01011592,E02002368,Leeds 039,Leeds 039D,-8,Does not apply,-8,Does not apply,0,792,125,15.782828282828282
E01011596,E02002391,Leeds 062,Leeds 062D,-8,Does not apply,-8,Does not apply,0,780,123,15.76923076923077
E01011595,E02002395,Leeds 066,Leeds 066B,-8,Does not apply,-8,Does not apply,0,806,154,19.106699751861044
E01011594,E02002391,Leeds 062,Leeds 062C,-8,Does not apply,-8,Does not apply,0,630,152,24.126984126984127
E01011597,E02002395,Leeds 066,Leeds 066C,-8,Does not apply,-8,Does not apply,0,561,153,27.272727272727273
E01011585,E02002391,Leeds 062,Leeds 062A,-8,Does not apply,-8,Does not apply,0,675,107,15.851851851851851
E01011586,E02002395,Leeds 066,Leeds 066A,-8,Does not apply,-8,Does not apply,0,697,171,24.53371592539455
E01011589,E02002368,Leeds 039,Leeds 039B,-8,Does not apply,-8,Does not apply,0,700,149,21.285714285714285
E01011590,E02002368,Leeds 039,Leeds 039C,-8,Does not apply,-8,Does not apply,0,662,141,21.299093655589125
E01011588,E02002368,Leeds 039,Leeds 039A,-8,Does not apply,-8,Does not apply,0,708,174,24.576271186440678
E01011599,E02002395,Leeds 066,Leeds 066D,-8,Does not apply,-8,Does not apply,0,706,143,20.254957507082153
E01011587,E02002391,Leeds 062,Leeds 062B,-8,Does not apply,-8,Does not apply,0,795,161,20.251572327044027
E01011632,E02002427,Leeds 098,Leeds 098D,-8,Does not apply,-8,Does not apply,0,599,151,25.208681135225376
E01011644,E02002366,Leeds 037,Leeds 037B,-8,Does not apply,-8,Does not apply,0,556,119,21.402877697841728
E01011641,E02002361,Leeds 032,Leeds 032B,-8,Does not apply,-8,Does not apply,0,617,138,22.366288492706644
E01011643,E02002366,Leeds 037,Leeds 037A,-8,Does not apply,-8,Does not apply,0,630,126,20
E01011646,E02002366,Leeds 037,Leeds 037C,-8,Does not apply,-8,Does not apply,0,649,133,20.49306625577812
E01011648,E02002366,Leeds 037,Leeds 037E,-8,Does not apply,-8,Does not apply,0,576,139,24.131944444444443
E01011651,E02002349,Leeds 020,Leeds 020B,-8,Does not apply,-8,Does not apply,0,634,146,23.028391167192428
E01011652,E02002353,Leeds 024,Leeds 024C,-8,Does not apply,-8,Does not apply,0,566,117,20.671378091872793
E01011650,E02002349,Leeds 020,Leeds 020A,-8,Does not apply,-8,Does not apply,0,603,137,22.71973466003317
E01011576,E02002336,Leeds 007,Leeds 007C,-8,Does not apply,-8,Does not apply,0,581,111,19.10499139414802
E01032503,E02002336,Leeds 007,Leeds 007E,-8,Does not apply,-8,Does not apply,0,611,87,14.238952536824877
E01032504,E02002336,Leeds 007,Leeds 007F,-8,Does not apply,-8,Does not apply,0,747,131,17.536813922356092
E01011572,E02002333,Leeds 004,Leeds 004C,-8,Does not apply,-8,Does not apply,0,829,119,14.354644149577805
E01011569,E02002333,Leeds 004,Leeds 004A,-8,Does not apply,-8,Does not apply,0,895,99,11.061452513966481
E01011574,E02002333,Leeds 004,Leeds 004E,-8,Does not apply,-8,Does not apply,0,700,73,10.428571428571429
E01011571,E02002333,Leeds 004,Leeds 004B,-8,Does not apply,-8,Does not apply,0,754,96,12.73209549071618
E01011573,E02002333,Leeds 004,Leeds 004D,-8,Does not apply,-8,Does not apply,0,543,101,18.60036832412523
E01011584,E02002332,Leeds 003,Leeds 003D,-8,Does not apply,-8,Does not apply,0,764,135,17.670157068062828
E01011653,E02002349,Leeds 020,Leeds 020C,-8,Does not apply,-8,Does not apply,0,631,100,15.847860538827259
E01011654,E02002353,Leeds 024,Leeds 024D,-8,Does not apply,-8,Does not apply,0,536,152,28.35820895522388
E01011655,E02002349,Leeds 020,Leeds 020D,-8,Does not apply,-8,Does not apply,0,723,90,12.448132780082988
E01011642,E02002361,Leeds 032,Leeds 032C,-8,Does not apply,-8,Does not apply,0,490,130,26.53061224489796
E01011645,E02002361,Leeds 032,Leeds 032D,-8,Does not apply,-8,Does not apply,0,619,112,18.093699515347335
E01011647,E02002366,Leeds 037,Leeds 037D,-8,Does not apply,-8,Does not apply,0,542,161,29.70479704797048
E01011700,E02002331,Leeds 002,Leeds 002B,-8,Does not apply,-8,Does not apply,0,603,82,13.598673300165837
E01011671,E02002384,Leeds 055,Leeds 055B,-8,Does not apply,-8,Does not apply,0,638,166,26.018808777429467
E01011713,E02002335,Leeds 006,Leeds 006E,-8,Does not apply,-8,Does not apply,0,709,142,20.02820874471086
E01011649,E02002351,Leeds 022,Leeds 022B,-8,Does not apply,-8,Does not apply,0,656,122,18.597560975609756
